language; Українська
carrot; Морква
tomato; Томат
banana; Банан
egg; Яйце
orange; Апельсин
cheese; Сир
cocos; Кокос
seeds; Кісточки манфан
meat; М'ясо
fish_blue; Скумбрія
fish_red; Лосось
fish_yellow; Риба фугу
berry_red; Калина
berry_blue; Чорника
berry_black; Ягоди белладонни
nuts; Горіхи
onion; Лук
potato; Картопля
potato_poison; Зелена картопля
pickle; Огірок
mush; Гриб
amanita; Мухомор
play; Грати
settings; Налаштування
credits; Автори
quit; Вийти
back; Назад
next; Далі
pause; Пауза
credits_jam_label; Гра створена для Coco Code GameJam, розробники гри RobDemo та AntonXCM.
credits_slime_label; Якщо гра вам сподобалася, ви можете переглянути інші ігри авторів, натиснувши на картинку праворуч!
book_poison; Отруйні продукти
book_poison_combination; Небезпечні комбінації
book_healing; Лікувальні комбінації
dish_counter; З'їдено страв
button_eat; З'їсти страву
button_change_dish; Замінити страву
game_over; Гра закінчена
retry; Заново
back_to_menu; Повернутись до меню
day; День
end; Кінець
win; День закінчено
level_begining; початок
level_allergy; алергія
level_immunity; імунітет
level_addiction; залежність
level_hunger; голод
level_begining_message; Ви починаєте роботу дегустатора! Вам потрібно їсти якомога більше страв, стежити, щоб страва не містила отруйних продуктів або небезпечних поєднань продуктів.
level_allergy_message; Лікарі виявили, що у вас алергія на [allergy1]. Тепер вживання цього продукту призведе до отруєння, будьте обережні!
level_immunity_message; Ви почуваєтеся дивно. Здається, ви захворіли на якусь дивну хворобу, але отруйна їжа більше не робить вас хворим. Дивно, чи не так? Небезпечні поєднання їжі все ще можуть викликати у вас отруєння.
level_addiction_message; З вами явно щось не так. Ви хочете їсти все більше і більше отрути. Тепер вживання їжі без отруйних продуктів призводить до отруєння. Переконайтеся, що в страві є хоча б один отруйний продукт. Це добре не закінчиться...
level_hunger_message; Вам стає все гірше і гірше, у вас виникла справжня залежність від отрут. Тепер вам стає погано, якщо ви довго нічого не їсте. Намагайтеся вибирати страви якомога швидше, інакше ви з'їсте блюдо перед собою.
ending_message; Вам стає все важче приховувати свою залежність від інших. Дуже скоро інші люди зрозуміють, що ви навмисно їсте отруту, але вас це вже не хвилює. Ви замовляєте все більше їжі у сумнівних виробників, які за гроші труять простих людей. Але отрути тебе вже не отруюють, ти не боїшся бути отруєним. Тіло, переповнене отрутами, заглушає всі почуття, крім голоду... Хочеться більше... Набагато більше...
